Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(m²K/W),Total_Cost
0.133,0.056,0.061,7.797,1701.96
0.133,0.056,0.067,8.019,1772.1599999999999
0.133,0.056,0.072,8.242,1830.6599999999999
0.133,0.056,0.078,8.464,1900.86
0.133,0.056,0.083,8.686,1959.3600000000001
0.133,0.056,0.089,8.908,2029.56
0.133,0.056,0.094,9.131,2088.06
0.133,0.056,0.1,9.353,2158.26
0.133,0.061,0.05,7.507,1596.6599999999999
0.133,0.061,0.056,7.729,1666.8600000000001
0.133,0.061,0.061,7.951,1725.3600000000001
0.133,0.061,0.067,8.174,1795.5600000000002
0.133,0.061,0.072,8.396,1854.06
0.133,0.061,0.078,8.618,1924.2600000000002
0.133,0.061,0.083,8.84,1982.7600000000002
0.133,0.061,0.089,9.063,2052.96
0.133,0.061,0.094,9.285,2111.46
0.133,0.061,0.1,9.507,2181.66
0.133,0.067,0.05,7.661,1624.7400000000002
0.133,0.067,0.056,7.884,1694.9400000000003
0.133,0.067,0.061,8.106,1753.4400000000003
0.133,0.067,0.067,8.328,1823.64
0.133,0.067,0.072,8.55,1882.14
0.133,0.067,0.078,8.772,1952.3400000000001
0.133,0.067,0.083,8.995,2010.8400000000001
0.133,0.067,0.089,9.217,2081.04
0.133,0.067,0.094,9.439,2139.54
0.133,0.067,0.1,9.661,2209.7400000000002
0.133,0.072,0.05,7.816,1648.1399999999999
0.133,0.072,0.056,8.038,1718.3400000000001
0.133,0.072,0.061,8.26,1776.8400000000001
0.133,0.072,0.067,8.482,1847.04
0.133,0.072,0.072,8.705,1905.54
0.133,0.072,0.078,8.927,1975.7399999999998
0.133,0.072,0.083,9.149,2034.2399999999998
0.133,0.072,0.089,9.371,2104.4399999999996
0.133,0.072,0.094,9.593,2162.9399999999996
0.133,0.072,0.1,9.816,2233.14
0.133,0.078,0.05,7.97,1676.2200000000003
0.133,0.078,0.056,8.192,1746.42
0.133,0.078,0.061,8.414,1804.92
0.133,0.078,0.067,8.637,1875.12
0.133,0.078,0.072,8.859,1933.62
0.133,0.078,0.078,9.081,2003.8199999999997
0.133,0.078,0.083,9.303,2062.32
0.133,0.078,0.089,9.526,2132.52
0.133,0.078,0.094,9.748,2191.02
0.133,0.078,0.1,9.97,2261.2200000000003
0.133,0.083,0.05,8.124,1699.62
0.133,0.083,0.056,8.347,1769.8200000000002
0.133,0.083,0.061,8.569,1828.3200000000002
0.133,0.083,0.067,8.791,1898.5200000000002
0.133,0.083,0.072,9.013,1957.02
0.133,0.083,0.078,9.235,2027.2200000000003
0.133,0.083,0.083,9.458,2085.7200000000003
0.133,0.083,0.089,9.68,2155.92
0.133,0.083,0.094,9.902,2214.42
0.133,0.083,0.1,10.124,2284.62
0.133,0.089,0.05,8.279,1727.6999999999998
0.133,0.089,0.056,8.501,1797.9
0.133,0.089,0.061,8.723,1856.4
0.133,0.089,0.067,8.945,1926.6000000000001
0.133,0.089,0.072,9.168,1985.1
0.133,0.089,0.078,9.39,2055.3
0.133,0.089,0.083,9.612,2113.8
0.133,0.089,0.089,9.834,2184.0
0.133,0.089,0.094,10.056,2242.5
0.133,0.089,0.1,10.279,2312.7
0.133,0.094,0.05,8.433,1751.1
0.133,0.094,0.056,8.655,1821.3000000000002
0.133,0.094,0.061,8.877,1879.8000000000002
0.133,0.094,0.067,9.1,1950.0
0.133,0.094,0.072,9.322,2008.5
0.133,0.094,0.078,9.544,2078.7
0.133,0.094,0.083,9.766,2137.2
0.133,0.094,0.089,9.989,2207.3999999999996
0.133,0.094,0.094,10.211,2265.8999999999996
0.133,0.094,0.1,10.433,2336.1
0.133,0.1,0.05,8.587,1779.1800000000003
0.133,0.1,0.056,8.81,1849.38
